nr,video_id,titel,dauer_min,url
82,FdfQWsX0CD0,The Ultimate Notion Hiring System For Agencies,35.8,https://www.youtube.com/watch?v=FdfQWsX0CD0
83,WLurUGpDnYM,"Notion For Video Production (2026) - Plan, Shoot, Edit, Deliver",17.8,https://www.youtube.com/watch?v=WLurUGpDnYM
84,_TsElVjIsgQ,Dylan Scaled His Agency From $2K/Mo to $200K/Mo,24.4,https://www.youtube.com/watch?v=_TsElVjIsgQ
85,zBP-TuLAmPM,Notion Vs Monday.com: Which Is Better For Agencies,24.6,https://www.youtube.com/watch?v=zBP-TuLAmPM
86,LSPJ52jh4cI,How Jacob Automated & Systemized His Video Agency,18.1,https://www.youtube.com/watch?v=LSPJ52jh4cI
87,BxEB7DHCV3E,"Building A $1,000,000 Agency For A Client In 29 Mins | Fix My Agency",28.9,https://www.youtube.com/watch?v=BxEB7DHCV3E
88,9juQC7nlWkc,How To Scale Your Agency FAST With SOP's 2026,15.4,https://www.youtube.com/watch?v=9juQC7nlWkc
89,ykmz7HIwouY,"She Took Her Agency From $1,600 → $47,000 in 8 Weeks",16.9,https://www.youtube.com/watch?v=ykmz7HIwouY
90,xJLu33s6e58,Notion vs Asana: Which Tool Is Right For Your Agency?,22.5,https://www.youtube.com/watch?v=xJLu33s6e58
91,7FmI3BgRw0s,The Fastest Way To Make $100k/Month with Your Video Agency,36.5,https://www.youtube.com/watch?v=7FmI3BgRw0s
92,nuJv3-tGXZc,Steal My $320K/month Agency’s Systems & Team Structure (Full Operations Masterclass),28.6,https://www.youtube.com/watch?v=nuJv3-tGXZc
93,_BlhWcMI1SQ,The Ultimate Notion Template For Agencies In 2026 (Steal My Template),6.0,https://www.youtube.com/watch?v=_BlhWcMI1SQ
94,cVscb0aIgnQ,Steve DOUBLED His Profit Margins For His Ad Agency,26.1,https://www.youtube.com/watch?v=cVscb0aIgnQ
95,Fn4ZKLXfrKQ,How Clayton Built A $200k/Month Video Agency,14.9,https://www.youtube.com/watch?v=Fn4ZKLXfrKQ
96,4eOxK494MPU,This Agency Owner Was Skeptical—Until He Landed His First Client in 4 Weeks,15.8,https://www.youtube.com/watch?v=4eOxK494MPU
97,bZT9wYNx6Vg,How I Use Notion To Run My $5M Agency (Steal My Template),16.4,https://www.youtube.com/watch?v=bZT9wYNx6Vg
98,5K1l2zTX_Xk,How I Built a $5M Client Getting System (FREE COURSE),108.7,https://www.youtube.com/watch?v=5K1l2zTX_Xk
99,6imElLkkfLU,Video Agencies: Get CRAZY Results For Your Clients (GUARANTEED),115.6,https://www.youtube.com/watch?v=6imElLkkfLU
100,wmeVIlUQMbI,The TRUTH About Building a $100K/Mo Agency,31.5,https://www.youtube.com/watch?v=wmeVIlUQMbI
101,dVh263luJSM,Agency Scaled to $200k/Mo by QUITTING THIS,34.1,https://www.youtube.com/watch?v=dVh263luJSM
102,FvjMjC0eaSA,He’s on Track for $100K/Month… and Works LESS Than You,30.2,https://www.youtube.com/watch?v=FvjMjC0eaSA
103,4q5sK9kMjzc,How I Automated My 7 Figure Agency (FREE OPS COURSE),302.9,https://www.youtube.com/watch?v=4q5sK9kMjzc
104,0KF2yBiyEBI,8 Brutal Lessons I Learned Scaling My Agency To $100K/mo,13.2,https://www.youtube.com/watch?v=0KF2yBiyEBI
105,VGdZHzlXoiw,I Was Broke At 19. Now My Agency Makes +$100K/mos Without Me,13.9,https://www.youtube.com/watch?v=VGdZHzlXoiw
106,Ow2eietpqgA,i worked 4 hours a day and my agency kept hitting +$100K/Months,13.9,https://www.youtube.com/watch?v=Ow2eietpqgA
107,hkuPPcRY4AM,3 AI Agents You MUST HAVE For Your Agency in 2025,17.7,https://www.youtube.com/watch?v=hkuPPcRY4AM
108,Gda3v3_C9Cw,Building a $100k/mo Agency For A Client In 23 Min,23.2,https://www.youtube.com/watch?v=Gda3v3_C9Cw
109,3m_SV_D1QOI,Give me just 13 mins and I’ll DELETE your broken mindset,13.2,https://www.youtube.com/watch?v=3m_SV_D1QOI
110,OCzrqh8hAGw,$10k/mo Freelancer vs $100k/mo Agency,18.6,https://www.youtube.com/watch?v=OCzrqh8hAGw
111,1oyAVPhQIKU,How I Grew My Marketing Agency From $0-$320K/month In Under 18 Months,15.0,https://www.youtube.com/watch?v=1oyAVPhQIKU
112,l2mkxM_Rp30,Building a $100K/Month Agency For a Client in 27 Mins,26.3,https://www.youtube.com/watch?v=l2mkxM_Rp30
113,ODCKv8NMjxc,Starting a $100k/mo Agency in 1 Day,36.5,https://www.youtube.com/watch?v=ODCKv8NMjxc
114,nn7IPhiZE5Y,pov: helping 364 agencies buy back their time,8.0,https://www.youtube.com/watch?v=nn7IPhiZE5Y
115,hggXDRwhfpE,How I Built a $100K/Month Agency Using SYSTEMS,22.7,https://www.youtube.com/watch?v=hggXDRwhfpE
116,UCuCiEm1Rlg,Building a $100K/mo Agency For A Stranger in 26 Mins,25.8,https://www.youtube.com/watch?v=UCuCiEm1Rlg
117,ZFxhuH_l9N4,"i tried 16 ways of getting clients, here are the BEST (SMMA)",22.0,https://www.youtube.com/watch?v=ZFxhuH_l9N4
118,UnlJylXRAoY,How This Freelancer Built a $100k/mo Agency & Studio in 6 Months,14.6,https://www.youtube.com/watch?v=UnlJylXRAoY
119,bkKSTyktenE,I Built An Entire Agency Onboarding System In 45 Minutes,14.2,https://www.youtube.com/watch?v=bkKSTyktenE
120,HFlRikA9uIo,How I Built a +$100K/mo Agency That Runs Without Me,33.4,https://www.youtube.com/watch?v=HFlRikA9uIo
121,V_2D6hvBBd0,I Built a +$100K/Mo Agency (So You Can Copy Me),17.0,https://www.youtube.com/watch?v=V_2D6hvBBd0
122,nKtb-Xr5HRE,The ONLY Agency Sales Systems Training To Scale To $100k/mo,43.9,https://www.youtube.com/watch?v=nKtb-Xr5HRE
123,5mWj25dYkKo,FULL Notion Course For Agency Owners (112 Mins),112.8,https://www.youtube.com/watch?v=5mWj25dYkKo
124,iH8tQCN6l4I,"This is Boring, But You’ll Hit $100k/mo in Your Agency FAST",30.4,https://www.youtube.com/watch?v=iH8tQCN6l4I
125,-8MEGEFG990,How I Built a $200k/mo Agency From My Personal Brand (Full Breakdown),11.6,https://www.youtube.com/watch?v=-8MEGEFG990
126,J4CG3HHi97E,THIS Real Estate Media Agency Adds $20k from $140 in Ads (IN 2 WEEKS),16.6,https://www.youtube.com/watch?v=J4CG3HHi97E
127,HlNs_bXgNBQ,I Cracked The Code on Fulfillment in Notion (2025),13.3,https://www.youtube.com/watch?v=HlNs_bXgNBQ
128,nlogfkOfcSo,The Sales System I Use To Book 4397 Sales Calls For My Agency,11.2,https://www.youtube.com/watch?v=nlogfkOfcSo
129,0va8NT6HJ-I,The Simplest Way to Build a Client Portal That Keeps Clients Happy,17.7,https://www.youtube.com/watch?v=0va8NT6HJ-I
130,8Qu7OVossCw,Why Notion Forms Are a Game Changer for Agencies,7.3,https://www.youtube.com/watch?v=8Qu7OVossCw
131,JH9QoJH6jys,How I Turned Notion into a CRM For My Agency (10X SALES),24.1,https://www.youtube.com/watch?v=JH9QoJH6jys
132,SZLMdwck29E,$100K/Mo Hiring System for Agency Owners,26.5,https://www.youtube.com/watch?v=SZLMdwck29E
133,alGapqeMtKY,THIS Creative Agency 9X Their Revenue With Our NEW Notion Systems,28.5,https://www.youtube.com/watch?v=alGapqeMtKY
134,VVcqpHBexqQ,I Went From BROKE Freelancer to $200k/mo Agency CEO in 2 Years!,35.4,https://www.youtube.com/watch?v=VVcqpHBexqQ
135,W63UpHLnNZY,Established Agency Owner Received $30k With Just ONE Ad (CASE STUDY),22.9,https://www.youtube.com/watch?v=W63UpHLnNZY
136,9Klw68QX3l4,NEW WAY For Lead Gen To Scale a $100k/mo Agency in Notion,16.8,https://www.youtube.com/watch?v=9Klw68QX3l4
137,YUSPn7pqoYw,THIS Video Agency Owner Went From Burnout to $30K Months in 6 Months,17.1,https://www.youtube.com/watch?v=YUSPn7pqoYw
138,k3Kz1aQVtrM,NEW Way To Run A $100k/mo Agency Using Notion in 2026,31.2,https://www.youtube.com/watch?v=k3Kz1aQVtrM
139,ZpJeLuJPMrY,The SYSTEM That Made THIS Freelancer into a Full-Time Agency,26.1,https://www.youtube.com/watch?v=ZpJeLuJPMrY
140,uJ3RhIJnjj8,Ken Made $100K in 7 Weeks this NEW Offer in His Agency (CASE STUDY),34.1,https://www.youtube.com/watch?v=uJ3RhIJnjj8
141,MS8uZDP3_xk,How I AUTOMATE My Marketing Agency's Onboarding in 5 Minutes,16.6,https://www.youtube.com/watch?v=MS8uZDP3_xk
142,RC4Z-58Vck0,Why Agencies FAIL (The Hidden Problem No One Talks About),24.2,https://www.youtube.com/watch?v=RC4Z-58Vck0
143,7IDaqxE8ebs,How THESE Agency Owners Are Building 7-Figure Agencies,10.0,https://www.youtube.com/watch?v=7IDaqxE8ebs
144,KHUkKVlUevM,The BEST Team Structure For Scaling To $100k/mo In Your Marketing Agency,17.3,https://www.youtube.com/watch?v=KHUkKVlUevM
145,tmPGfUd8fZ8,How I Built My $200k/mo Agency So It Runs Without Me,20.4,https://www.youtube.com/watch?v=tmPGfUd8fZ8
146,rHAdaeWcFpQ,How I Deliver RESULTS For My Video Agency Clients,21.1,https://www.youtube.com/watch?v=rHAdaeWcFpQ
147,tmVW7uBlCVM,15 Marketing Tools For Agencies in 2025,16.8,https://www.youtube.com/watch?v=tmVW7uBlCVM
148,qHDLQPqtHzo,How We Are Helping +150 Agencies Scale to $100k Months,24.4,https://www.youtube.com/watch?v=qHDLQPqtHzo
149,R2dVEktcmdY,How to Run a $200k/mo Marketing Agency in 1 Hour a Week,23.3,https://www.youtube.com/watch?v=R2dVEktcmdY
150,xUKYgsdqeCk,Justin was a confused freelancer to having clarity with $40k/mo running a team (CASE STUDY),20.2,https://www.youtube.com/watch?v=xUKYgsdqeCk
151,UMMMJ0ISsms,i hit $200k month in my smma on easy mode lol,23.0,https://www.youtube.com/watch?v=UMMMJ0ISsms
152,AFP8g5ybFLw,$4K to $20K: The Accountability and Systems That CHANGED Our Agency (CASE STUDY),23.6,https://www.youtube.com/watch?v=AFP8g5ybFLw
153,awRf0vNqxpA,24 Hour Agency Owner Mastermind,9.0,https://www.youtube.com/watch?v=awRf0vNqxpA
154,XzTjYx3wlyc,"How I Scaled My Agency to $220,000/Month [FULL Masterclass]",23.9,https://www.youtube.com/watch?v=XzTjYx3wlyc
155,hjD7KWuH7gE,pov: helping +150 agencies scale 1:1 to $100km,12.2,https://www.youtube.com/watch?v=hjD7KWuH7gE
156,_yibGLQRA8o,7 Years of No BS SMMA Advice in 18 Mins,18.2,https://www.youtube.com/watch?v=_yibGLQRA8o
157,65WmMB-1Vg8,Alex Hormozi’s Agency Strategy Will Blow Up Your Business,12.1,https://www.youtube.com/watch?v=65WmMB-1Vg8
158,cSCcAIomSv4,How This Freelancer Went From $1k to $15k in 4 Weeks (CASE STUDY),25.0,https://www.youtube.com/watch?v=cSCcAIomSv4
159,8ggjfN6VA-4,How to Build A $100k/mo Agency Offer,14.0,https://www.youtube.com/watch?v=8ggjfN6VA-4
160,DD17nsWAPOA,Freelancer Scales to $50k MRR (CASE STUDY),23.0,https://www.youtube.com/watch?v=DD17nsWAPOA
161,UsCWjrFEJcM,Want 20 New Clients for Your Agency? Watch this,16.8,https://www.youtube.com/watch?v=UsCWjrFEJcM
162,jKlx9Loi_tQ,The 4 Systems That Scaled Me To $200k in My Marketing Agency,22.4,https://www.youtube.com/watch?v=jKlx9Loi_tQ
163,HzFnVqjfdrk,pov: 31 year old $200k/mo Agency Owner CEO,11.2,https://www.youtube.com/watch?v=HzFnVqjfdrk
164,hI4K_Y-yZRM,the laziest cold email outreach for $100k/mo in your agency,59.6,https://www.youtube.com/watch?v=hI4K_Y-yZRM
165,LyxUtEwuNiI,"How Ryan Added $34,000 in 2 Weeks in his SMMA",18.7,https://www.youtube.com/watch?v=LyxUtEwuNiI
166,3YZmT1pV2jE,if you want to scale your agency to $100k/mo. watch this.,19.5,https://www.youtube.com/watch?v=3YZmT1pV2jE
167,f95ci9_8rVA,How to Build $200k/mo Systems (So Your SMMA Runs Without You),18.9,https://www.youtube.com/watch?v=f95ci9_8rVA
168,lpTXhD6Ogco,This Simple Shift Could Take Your Agency to $50k,15.8,https://www.youtube.com/watch?v=lpTXhD6Ogco
169,NnOfVZ7OdTk,How Cutting 75% of His Clients Created Clarity,24.1,https://www.youtube.com/watch?v=NnOfVZ7OdTk
170,QYjmsuUxgHs,CEO Productivity SECRETS to scale to $100k/mo,7.5,https://www.youtube.com/watch?v=QYjmsuUxgHs
171,z0EsmBKlSZA,$100k/mo Financial Plan For YOUR Agency,10.9,https://www.youtube.com/watch?v=z0EsmBKlSZA
172,bpRIUw6iP0s,The Retainer Model That Grew This Real Estate Agency to $100k,16.2,https://www.youtube.com/watch?v=bpRIUw6iP0s
173,tjRmEAFPmfo,From Being Overwhelmed to Consistent $20k Months,19.0,https://www.youtube.com/watch?v=tjRmEAFPmfo
174,vFfjitL_Af4,I Debunked 200+ Agency Owner’s Myths,31.3,https://www.youtube.com/watch?v=vFfjitL_Af4
175,QxpFwFFUGDk,Alex Hormozi SECRETS for Scaling an Agency to $100k/mo,11.3,https://www.youtube.com/watch?v=QxpFwFFUGDk
176,SOt9NnNTZFA,How This 18-Year-Old Built a 50K/Month Business While in School!,16.9,https://www.youtube.com/watch?v=SOt9NnNTZFA
177,r7QMKXSzQIs,The Guy Behind Viral Personal Brands Sharing ALL His Secrets,67.5,https://www.youtube.com/watch?v=r7QMKXSzQIs
178,WNfEVXyna6o,How to Get Clients Predictably To Hit $100k/mo,20.5,https://www.youtube.com/watch?v=WNfEVXyna6o
179,ehMJPUOaKmo,Scaling Past 100k mo is EASIER Than You Think,9.8,https://www.youtube.com/watch?v=ehMJPUOaKmo
180,MRxq1krHw-c,What It Really Takes to Hit $100k/m In Your Agency,13.4,https://www.youtube.com/watch?v=MRxq1krHw-c
181,88E4JR78tyM,Alex Hormozi 4 Business Concepts for Agencies,9.9,https://www.youtube.com/watch?v=88E4JR78tyM
182,M88S2UId1zg,The 4 Pillars Your Agency Needs To Scale to $200k/pm,16.9,https://www.youtube.com/watch?v=M88S2UId1zg
183,Z-3jvO0meNA,Ranking Every SMMA Niche From Best to Worst (2024),11.8,https://www.youtube.com/watch?v=Z-3jvO0meNA
184,Qi4_J4hPBNc,you will never hit $100k/mo if you keep doing this,10.3,https://www.youtube.com/watch?v=Qi4_J4hPBNc
185,CNTFjEDN32U,My Secret to Building a $100k/mo Agency Team (Step-By-Step),11.3,https://www.youtube.com/watch?v=CNTFjEDN32U
186,fABV_rVWjwI,Step-By-Step How I Get $50k in PROFIT For My Agency!,10.9,https://www.youtube.com/watch?v=fABV_rVWjwI
187,Wpn5ppaPAcM,any idiot can make $10k/pm in an agency doing THIS,26.6,https://www.youtube.com/watch?v=Wpn5ppaPAcM
188,PWZxZm2-0WU,How I Book 40+ Sales Calls A Month Guaranteed (2025),15.4,https://www.youtube.com/watch?v=PWZxZm2-0WU
189,IgLjjjTsyWY,"If I Wanted to Go From Broke to Agency CEO, Here’s What I’d Do",10.0,https://www.youtube.com/watch?v=IgLjjjTsyWY
190,EE2IYJwaRC8,SECRETS For Managing Creatives Inside a $100k/mo Agency,18.8,https://www.youtube.com/watch?v=EE2IYJwaRC8
191,VFIiplriMvo,the NEW Way of Cold Emailing for Agencies (2024),13.5,https://www.youtube.com/watch?v=VFIiplriMvo
192,AzHMh_WYFlA,Agencies: 10x Revenue with 1 New Sales Process,15.0,https://www.youtube.com/watch?v=AzHMh_WYFlA
193,MHOBpY7STRQ,The Only Guide You'll Ever Need to Hit $100k/months in 2025,14.3,https://www.youtube.com/watch?v=MHOBpY7STRQ
194,0efZT3jKV-s,$200k/mo CEO Explains How to Build An Agency You Love,11.5,https://www.youtube.com/watch?v=0efZT3jKV-s
195,xM7Po9uT5BI,4 Reasons Your Agency Is Stuck at $20K/Month,11.1,https://www.youtube.com/watch?v=xM7Po9uT5BI
196,UDICDiG3auw,Asking 7 Figure Agency Owners Their Secret To Their Success,8.2,https://www.youtube.com/watch?v=UDICDiG3auw
197,I7Lm5-lPZto,This ONE Skill Took My Agency from Chaos to +$100K/Month,10.4,https://www.youtube.com/watch?v=I7Lm5-lPZto
198,LkZlwRsVj0E,I Cracked the Code on Service Delivery,7.4,https://www.youtube.com/watch?v=LkZlwRsVj0E
199,kT7iYENYNZU,How to Track Your $100k/Mo Agency Using Notion,8.0,https://www.youtube.com/watch?v=kT7iYENYNZU
